'nourut';'outlook';'temperature';'humadity';'windy';'play'
1;'Sunny';'Hot';'High';'False';'No'
2;'Sunny';'Hot';'High';'True';'No'
3;'Cloudy';'Hot';'High';'False';'Yes'
4;'Rainy';'Mild';'High';'False';'Yes'
5;'Rainy';'Cold';'Normal';'False';'Yes'
6;'Rainy';'Cold';'Normal';'True';'Yes'
7;'Cloudy';'Cold';'Normal';'True';'Yes'
8;'Sunny';'Mild';'High';'False';'No'
9;'Sunny';'Cold';'Normal';'False';'Yes'
10;'Rainy';'Mild';'Normal';'False';'Yes'
11;'Sunny';'Mild';'Normal';'True';'Yes'
12;'Cloudy';'Mild';'High';'True';'Yes'
13;'Cloudy';'Hot';'Normal';'False';'Yes'
14;'Rainy';'Mild';'High';'True';'No'
15;'Rainy';'Mild';'Normal';'True';'No'
